Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19205.5,230466.00,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Innitial Estimate,US West (Oregon),,S3 Standard,0,230,2760.00,USD,,S3 Standard storage (10000 GB per month)
Innitial Estimate,US West (Oregon),,S3 Standard - Infrequent Access,0,1.25,15.00,USD,,S3 Standard-IA storage (100 GB per month)
Innitial Estimate,US West (Oregon),,S3 Glacier Flexible Retrieval,0,46.18,554.16,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0), S3 Glacier Flexible Retrieval storage (10000 GB per month), Data retrievals (Standard) (1000 GB per month)"
Innitial Estimate,US West (Oregon),,S3 Glacier Instant Retrieval,0,4,48.00,USD,,S3 Glacier Instant Retrieval storage (1000 GB per month)
Innitial Estimate,US West (Oregon),,Amazon CloudWatch,0,414.3871,4972.65,USD,,"Number of Metrics (includes detailed and custom metrics) (100), Standard Logs: Data Ingested (200 GB), Logs Delivered to S3: Data Ingested (200 GB), Number of other API requests (10000), Logs Delivered to CloudWatch Logs: Data Ingested (200 GB), Number of Dashboards (10), Number of Lambda functions (30), Number of requests per function (1000 per hour), Number of monitored resources (3 per hour), GetMetricData: Number of metrics requested (10000), Number of Custom/Cross-account events (100)"
Innitial Estimate,US West (Oregon),,Application Load Balancer,0,2060.43,24725.16,USD,,Number of Application Load Balancers (1)
Innitial Estimate,US West (Oregon),,Network Load Balancer,0,1784.85,21418.20,USD,,"Number of Network Load Balancers (2), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (100 per second), Processed bytes per NLB for TLS (100 GB per hour), Average number of new TLS connections (100 per second)"
Innitial Estimate,US West (Oregon),,Amazon Route 53,0,3888.4,46660.80,USD,,"Hosted Zones (1), Basic Checks Within AWS (1000), Number of Elastic Network Interfaces (10)"
Innitial Estimate,US West (Oregon),,Amazon RDS for PostgreSQL,0,4977.98,59735.76,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (1000 GB), Nodes (2), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (100 GB)"
Innitial Estimate,US West (Oregon),,Amazon EC2 ,0,787.016,9444.19,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (t3.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), DT Inbound: Internet (100 GB per month), DT Outbound: All other regions (20 TB per month), DT Intra-Region: (20 GB per month)"
Innitial Estimate,US West (Oregon),,Amazon EC2 ,0,436.90000000000003,5242.80,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (c5.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: All other regions (100 GB per month), DT Outbound: All other regions (100 GB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (100 GB per month)"
Innitial Estimate,US West (Oregon),,Network Address Translation (NAT) Gateway,0,77.85,934.20,USD,,Number of NAT Gateways (1)
Innitial Estimate,US West (Oregon),,Transit Gateway,0,1875,22500.00,USD,,"Number of Multicast Receivers (100), Number of Transit Gateway attachments (50)"
Innitial Estimate,US West (Oregon),,Data Transfer,0,2048.2,24578.40,USD,,"DT Inbound: Internet (100 GB per month), DT Outbound: All other regions (100 TB per month), DT Intra-Region: (10 GB per month), Data transfer cost (2048.2)"
Innitial Estimate,US West (Oregon),,Gateway Load Balancer,0,573.05,6876.60,USD,,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (100 GB per hour), Average number of new connections/flows (1000 per second)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
