Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6441.630000000001,77299.56,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Innitial Estimate,US West (Oregon),,VPN Connection,0,0,0.00,USD,,Working days per month (30)
Innitial Estimate,US West (Oregon),,Network Address Translation (NAT) Gateway,0,77.85,934.20,USD,,Number of NAT Gateways (1)
Innitial Estimate,US West (Oregon),,S3 Standard,0,23,276.00,USD,,S3 Standard storage (1000 GB per month)
Innitial Estimate,US West (Oregon),,S3 Glacier Flexible Retrieval,0,46.18,554.16,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0), S3 Glacier Flexible Retrieval storage (10000 GB per month), Data retrievals (Standard) (1000 GB per month)"
Innitial Estimate,US West (Oregon),,Amazon CloudWatch,0,226.99699999999999,2723.96,USD,,"Number of Metrics (includes detailed and custom metrics) (), Standard Logs: Data Ingested (100 GB), Logs Delivered to S3: Data Ingested (100 GB), Number of monitored resources (2 per hour), Number of other API requests (1000), Logs Delivered to CloudWatch Logs: Data Ingested (100 GB), Number of Dashboards (2), Number of Lambda functions (30), Number of requests per function (1000 per hour)"
Innitial Estimate,US West (Oregon),,Application Load Balancer,0,425.23,5102.76,USD,,Number of Application Load Balancers (1)
Innitial Estimate,US West (Oregon),,Network Load Balancer,0,454.43,5453.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (50 GB per hour), Average number of new TCP connections (50 per second), Processed bytes per NLB for TLS (50 GB per hour), Average number of new TLS connections (20 per second)"
Innitial Estimate,US West (Oregon),,Amazon Route 53,0,938,11256.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"
Innitial Estimate,US West (Oregon),,Amazon RDS for PostgreSQL,0,2493.74,29924.88,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (1000 GB), Nodes (1), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (100 GB)"
Innitial Estimate,US West (Oregon),,Amazon EC2 ,0,787.0160000000001,9444.19,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (t3.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), DT Inbound: Internet (100 GB per month), DT Outbound: All other regions (20 TB per month), DT Intra-Region: (20 GB per month)"
Innitial Estimate,US West (Oregon),,Amazon EC2 ,0,436.90000000000003,5242.80,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (c5.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: All other regions (100 GB per month), DT Outbound: All other regions (100 GB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (100 GB per month)"
Innitial Estimate,US West (Oregon),,Network Address Translation (NAT) Gateway,0,77.85,934.20,USD,,Number of NAT Gateways (1)
Innitial Estimate,US West (Oregon),,Gateway Load Balancer,0,454.42999999999995,5453.16,USD,,"Number of Availability Zones that Gateway Load Balancer is deployed to (1), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (80 GB per hour)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
